"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Construcción","2024","1.2","25"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","1.2","3.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","101.6","68.7"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2024","47.4","22.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","No clasificado en otra parte","Sin clasificar","2024",,"0.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Total","2025","44449.8","58004.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Agricultura","2025","1421.5","6282.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Manufacturas","2025","4149.3","7718.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Construcción","2025","344.2","7091.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","271.4","1093.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","17517.7","26084.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Administración pública y servicios y actividades comunales y sociales","2025","20589.9","9504.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Sin clasificar","2025","155.9","229.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Total","2025","10770.1","19055.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Agricultura","2025","239.9","1847.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Manufacturas","2025","1310.9","2587.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Construcción","2025","65.1","4308.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","56.6","310.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","3841.6","8030.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Administración pública y servicios y actividades comunales y sociales","2025","5227.9","1926"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Poco educado","Sin clasificar","2025","28.1","45"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Total","2025","24196.2","28306.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Agricultura","2025","455.6","1959.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Manufacturas","2025","2249.1","4329.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Construcción","2025","195.5","2514.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","140.1","602.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2025","10376.4","14431"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Administración pública y servicios y actividades comunales y sociales","2025","10689.1","4343.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Emparejado","Sin clasificar","2025","90.4","125.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Total","2025","9316.2","9637"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Agricultura","2025","665.4","2228.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Manufacturas","2025","586.8","798.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Construcción","2025","83.6","264.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2025","74.6","179.7"
