"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Total","Número de niños menores de 6 años: 3+","2016","38","42.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Una persona","Número de niños menores de 6 años: Total","2016","39.8","41.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Una persona","Número de niños menores de 6 años: 0","2016","39.8","41.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja sin hijos","Número de niños menores de 6 años: Total","2016","38.7","45.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja sin hijos","Número de niños menores de 6 años: 0","2016","38.7","45.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Número de niños menores de 6 años: Total","2016","37.7","41.3"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Número de niños menores de 6 años: 0","2016","38.4","40.7"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Número de niños menores de 6 años: 1","2016","35.2","43.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Número de niños menores de 6 años: 2","2016","40","36.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Pareja con hijos","Número de niños menores de 6 años: 3+","2016",,
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Número de niños menores de 6 años: Total","2016","35.5","40.9"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Número de niños menores de 6 años: 0","2016","35.4","42.2"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Número de niños menores de 6 años: 1","2016","35.5",
"Barbados","EIGH - Encuesta de Condiciones de Vida","Padre solo","Número de niños menores de 6 años: 2","2016",,
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Número de niños menores de 6 años: Total","2016","35.3","36.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Número de niños menores de 6 años: 0","2016","35.1","37.1"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Número de niños menores de 6 años: 1","2016","35.8","36.6"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Número de niños menores de 6 años: 2","2016","33.7","26.8"
"Barbados","EIGH - Encuesta de Condiciones de Vida","Familia extendida","Número de niños menores de 6 años: 3+","2016","38",
"Chile","EFT - Encuesta Nacional de Empleo","Total","Presencia de niños menores de 6 años: Total","2024","34.5","41"
"Chile","EFT - Encuesta Nacional de Empleo","Total","Presencia de niños menores de 6 años: Si","2024","31.3","42"
"Chile","EFT - Encuesta Nacional de Empleo","Total","Presencia de niños menores de 6 años: No","2024","35.5","40.7"
"Chile","EFT - Encuesta Nacional de Empleo","Una persona","Presencia de niños menores de 6 años: Total","2024","37.1","40.2"
"Chile","EFT - Encuesta Nacional de Empleo","Una persona","Presencia de niños menores de 6 años: No","2024","37.1","40.2"
"Chile","EFT - Encuesta Nacional de Empleo","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2024","36.5","40.4"
"Chile","EFT - Encuesta Nacional de Empleo","Pareja sin hijos","Presencia de niños menores de 6 años: No","2024","36.5","40.4"
"Chile","EFT - Encuesta Nacional de Empleo","Pareja con hijos","Presencia de niños menores de 6 años: Total","2024","33.4","41.6"
"Chile","EFT - Encuesta Nacional de Empleo","Pareja con hijos","Presencia de niños menores de 6 años: Si","2024","30.2","41.9"
"Chile","EFT - Encuesta Nacional de Empleo","Pareja con hijos","Presencia de niños menores de 6 años: No","2024","35","41.4"
"Chile","EFT - Encuesta Nacional de Empleo","Padre solo","Presencia de niños menores de 6 años: Total","2024","32.9","41.8"
"Chile","EFT - Encuesta Nacional de Empleo","Padre solo","Presencia de niños menores de 6 años: Si","2024","28.9","49.8"
"Chile","EFT - Encuesta Nacional de Empleo","Padre solo","Presencia de niños menores de 6 años: No","2024","33.7","41.1"
